Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Aid the Fallen,war,Near Mint,English,,,2023-04-06 15:04:39.148419,76,False,False,
1,1,"Ashiok, Dream Render",war,Near Mint,English,,,2023-04-06 15:04:39.148822,228,False,False,
1,1,Bolas's Citadel,war,Near Mint,English,,,2023-04-06 15:04:39.149776,79,False,False,
1,1,"Dovin, Hand of Control",war,Near Mint,English,,,2023-04-06 15:04:39.150397,229,False,False,
1,1,Tamiyo's Epiphany,war,Near Mint,English,,,2023-04-06 15:04:39.151003,71,False,False,
1,1,Rescuer Sphinx,war,Near Mint,English,,,2023-04-06 15:04:39.151587,65,False,False,
1,1,Leyline Prowler,war,Near Mint,English,,,2023-04-06 15:04:39.152160,202,False,False,
1,1,God-Pharaoh's Statue,war,Near Mint,English,,,2023-04-06 15:04:39.152737,238,False,False,
1,1,Kaya's Ghostform,war,Near Mint,English,,,2023-04-06 15:04:39.153311,94,False,False,
1,1,"Jace, Wielder of Mysteries",war,Near Mint,English,foil,,2023-04-06 15:04:39.153876,54,False,False,
1,1,"Narset, Parter of Veils",war,Near Mint,English,,,2023-04-06 15:04:39.154418,61,False,False,
1,1,Neoform,war,Near Mint,English,,,2023-04-06 15:04:39.154955,206,False,False,
1,1,"Tamiyo, Collector of Tales",war,Near Mint,English,,,2023-04-06 15:04:39.155490,220,False,False,
1,1,Erratic Visionary,war,Near Mint,English,,,2023-04-06 15:04:39.156022,48,False,False,
1,1,Airlift Chaplain,bro,Near Mint,English,foil,,2023-04-06 15:04:39.156553,2,False,False,
1,1,Gix's Command,bro,Near Mint,English,,,2023-04-06 15:04:39.157083,97,False,False,
1,1,Meticulous Excavation,bro,Near Mint,English,,,2023-04-06 15:04:39.157610,16,False,False,
1,1,Dreams of Steel and Oil,bro,Near Mint,English,,,2023-04-06 15:04:39.158140,92,False,False,
1,1,Blackblade Reforged,rfbro,Near Mint,English,,,2023-04-06 15:04:39.158674,6,False,False,
1,1,Mesmeric Orb,rfbro,Near Mint,English,,,2023-04-06 15:04:39.159213,31,False,False,
1,1,Psychosis Crawler,rfbro,Near Mint,English,,,2023-04-06 15:04:39.159743,44,False,False,
1,1,Pristine Talisman,rfbro,Near Mint,English,,,2023-04-06 15:04:39.160273,43,False,False,
1,1,Possessed Portal,5dn,Near Mint,English,,,2023-04-06 15:04:39.160800,144,False,False,
1,1,Zephid's Embrace,us,Near Mint,English,,,2023-04-06 15:04:39.161324,114,False,False,
1,1,Exhaustion,us,Near Mint,English,,,2023-04-06 15:04:39.161852,74,False,False,
1,1,Attunement,us,Near Mint,English,,,2023-04-06 15:04:39.162363,61,False,False,
1,1,Priest of Titania,us,Near Mint,English,,,2023-04-06 15:04:39.162854,270,False,False,
1,1,Farideh's Fireball,afr,Near Mint,English,,,2023-04-06 15:04:39.163341,142,False,False,
1,1,Contact Other Plane,afr,Near Mint,English,,,2023-04-06 15:04:39.163829,52,False,False,
1,1,Wish,afr,Near Mint,English,,,2023-04-06 15:04:39.164316,166,False,False,
1,1,Sphere of Annihilation,afr,Near Mint,English,,,2023-04-06 15:04:39.164808,121,False,False,
1,1,Mimic,afr,Near Mint,English,,,2023-04-06 15:04:39.165296,249,False,False,
1,1,Evolving Wilds,afr,Near Mint,English,,,2023-04-06 15:04:39.165800,256,False,False,
1,1,Thornbite Staff,mt,Near Mint,English,,,2023-04-06 15:04:39.166318,145,False,False,
1,1,Oona's Blackguard,mt,Near Mint,English,,,2023-04-06 15:04:39.166833,72,False,False,
1,1,Inspired Sprite,mt,Near Mint,English,,,2023-04-06 15:04:39.167345,37,False,False,
1,1,Approach of the Second Sun,akh,Near Mint,English,,,2023-04-06 15:04:39.167853,4,False,False,
1,1,Kefnet the Mindful,akh,Near Mint,English,,,2023-04-06 15:04:39.168368,59,False,False,
1,1,Throne of the God-Pharaoh,akh,Near Mint,English,,,2023-04-06 15:04:39.168889,237,False,False,
1,1,Winds of Rebuke,akh,Near Mint,English,,,2023-04-06 15:04:39.169664,76,False,False,
1,1,Fertilid,arc,Near Mint,English,,,2023-04-06 15:04:39.170297,54,False,False,
1,1,"Mikaeus, the Unhallowed",dka,Near Mint,English,,,2023-04-06 15:04:39.170868,70,False,False,
1,1,Sylvan Scrying,bfz,Near Mint,English,,,2023-04-06 15:04:39.171418,192,False,False,
1,1,Dispel,bfz,Near Mint,English,,,2023-04-06 15:04:39.171953,76,False,False,
1,1,Blighted Woodland,bfz,Near Mint,English,,,2023-04-06 15:04:39.172472,233,False,False,
1,1,"Kiora, Master of the Depths",bfz,Near Mint,English,,,2023-04-06 15:04:39.173025,213,False,False,
1,1,Vampiric Rites,bfz,Near Mint,English,,,2023-04-06 15:04:39.173580,124,False,False,
1,1,Evolving Wilds,bfz,Near Mint,English,,,2023-04-06 15:04:39.174131,236,False,False,
1,1,"Gwafa Hazid, Profiteer",bbd,Near Mint,English,,,2023-04-06 15:04:39.174670,223,False,False,
1,1,Tidespout Tyrant,bbd,Near Mint,English,,,2023-04-06 15:04:39.175200,134,False,False,
1,1,Sakura-Tribe Elder,chk,Near Mint,English,,,2023-04-06 15:04:39.176521,239,False,False,
1,1,Heartbeat of Spring,chk,Near Mint,English,,,2023-04-06 15:04:39.177063,212,False,False,
1,1,Dash Hopes,pc,Near Mint,English,,,2023-04-06 15:04:39.177601,68,False,False,
1,1,Poultice Sliver,pc,Near Mint,English,,,2023-04-06 15:04:39.178129,11,False,False,
1,1,Firefright Mage,pc,Near Mint,English,,,2023-04-06 15:04:39.178653,99,False,False,
1,1,Seal of Primordium,pc,Near Mint,English,,,2023-04-06 15:04:39.179177,153,False,False,
1,1,Ashnod's Altar,ch,Near Mint,English,,,2023-04-06 15:04:39.179695,9v,False,False,
1,1,Vaevictis Asmadi,ch,Near Mint,English,,,2023-04-06 15:04:39.180210,118v,False,False,
1,1,Exsanguinate,som,Near Mint,English,,,2023-04-06 15:04:39.180729,61,False,False,
1,1,Barren Moor,cmd,Near Mint,English,,,2023-04-06 15:04:39.181244,266,False,False,
1,1,Skyscribing,cmd,Near Mint,English,,,2023-04-06 15:04:39.181751,61,False,False,
